index,over_L,det_L,under_L,total_faces_L,total_L,over_M,det_M,under_M,total_faces_M,total_M,over_S,det_S,under_S,total_faces_S,total_S
Haar,11.0,93.0,160.0,253.0,264.0,19.0,197.0,847.0,1044.0,1063.0,21.0,51.0,2715.0,2766.0,2787.0
DNN,9.0,236.0,17.0,253.0,262.0,39.0,680.0,364.0,1044.0,1083.0,45.0,458.0,2308.0,2766.0,2811.0
MTCNN,4.0,123.0,130.0,253.0,257.0,20.0,340.0,704.0,1044.0,1064.0,84.0,430.0,2336.0,2766.0,2850.0
HOG,3.0,120.0,133.0,253.0,256.0,10.0,290.0,754.0,1044.0,1054.0,36.0,282.0,2484.0,2766.0,2802.0
MMOD,17.0,180.0,73.0,253.0,270.0,55.0,518.0,526.0,1044.0,1099.0,88.0,411.0,2355.0,2766.0,2854.0
3DDFA,9.0,239.0,14.0,253.0,262.0,159.0,596.0,448.0,1044.0,1203.0,261.0,207.0,2559.0,2766.0,3027.0
CrowdHuman,128.0,55.0,198.0,253.0,381.0,591.0,273.0,771.0,1044.0,1635.0,2104.0,620.0,2146.0,2766.0,4870.0
RetinaFace,8.0,253.0,0.0,253.0,261.0,94.0,987.0,57.0,1044.0,1138.0,442.0,1702.0,1064.0,2766.0,3208.0
Facenet,4.0,131.0,122.0,253.0,257.0,26.0,323.0,721.0,1044.0,1070.0,70.0,432.0,2334.0,2766.0,2836.0
CenterFace,13.0,246.0,7.0,253.0,266.0,61.0,944.0,100.0,1044.0,1105.0,290.0,1456.0,1310.0,2766.0,3056.0
TinaFace,7.0,252.0,1.0,253.0,260.0,73.0,1002.0,42.0,1044.0,1117.0,465.0,2191.0,575.0,2766.0,3231.0
